"YEAR","CONF","TEAM","SEED","ROUND","KADJ.T","KADJ.O","KADJ.D","BADJ.EM","BADJ.O","BADJ.D","GAMES","W","L","WIN.","EFG.","EFG.D","FTR","FTRD","TOV.","TOV.D","OREB.","DREB.","OP.OREB.","OP.DREB.","RAW.T","X2PT.","X2PT.D","X3PT.","X3PT.D","BLK.","BLKED.","AST.","OP.AST.","X2PTR","X3PTR","X2PTRD","X3PTRD","BADJ.T","AVG.HGT","EFF.HGT","EXP","TALENT","FT.","OP.FT.","PPPO","PPPD"
2025,"B10","Michigan",5,0,69.6043,116.787,94.9671,20.705,115.121,94.416,34,25,9,73.52941,54.5,46.3,35,28.5,19.8,16,33.2,70.2,29.8,66.8,70.6,57.7,45.9,33.4,31.3,9.3,7.5,58.5,44.9,57.5,42.5,61.1,38.9,69.422,79.111,83.403,2.239,57.267,72.8,73,1.101,1.002
2025,"B10","Michigan St.",2,0,67.7809,118.056,90.49,24.997,116.833,91.836,33,27,6,81.81818,51.2,46.1,37.8,33.1,16.6,16.4,35.3,75.4,24.6,64.7,69.2,53.6,49.1,30.8,27.9,13.3,7.8,61.6,53.4,67.3,32.7,58.6,41.4,67.859,78.039,81.913,1.752,74.743,78.1,72.2,1.125,0.968
2025,"SEC","Mississippi",6,0,68.1108,117.897,95.8241,20.445,117.393,96.948,33,22,11,66.66667,51.1,50.5,35.6,39.5,12.8,20.5,25.4,69.2,30.8,74.6,69.3,51,51.6,34.1,32.7,12.4,11.2,53.5,58.3,59.8,40.2,56,44,67.977,76.185,79.496,2.701,56.397,73.8,70.5,1.105,1.027
2025,"SEC","Mississippi St.",8,0,68.2016,118.786,98.6992,19.567,118.331,98.764,33,21,12,63.63636,51.7,51.9,31.6,35.4,15.1,19,34.1,70.5,29.5,65.9,69.7,55.2,50.1,31.4,36.1,14.3,8.6,53.3,53.2,57.7,42.3,55.8,44.2,67.963,77.214,80.466,2.053,58.075,70,69.5,1.131,1.052
2025,"SEC","Missouri",6,0,68.279,125.359,100.97,26.199,127.001,100.802,33,22,11,66.66667,56.2,50.7,46.8,35.3,15.2,20,33.7,67.8,32.2,66.3,70,56.7,51.1,37,33.4,7.5,10.5,49.5,48.3,58.5,41.5,61.8,38.2,68.112,78.276,81.594,2.197,66.184,72.5,76.2,1.203,1.052
2025,"BSky","Montana",14,0,67.1057,110.837,110.443,3.02,112.006,108.986,31,22,9,70.96774,56.4,52.2,36.2,31.9,16.2,15.5,22.6,71,29,77.4,67.5,57.3,53.1,36.5,33.7,8.1,8.5,49.3,45.6,63.2,36.8,65,35,66.985,76.552,78.532,2.148,0.2,74.6,74,1.114,1.102
2025,"MAAC","Mount St. Mary's",16,0,67.4378,100.191,106.864,-8.039,99.44,107.479,33,21,12,63.63636,51,48,31,26.7,21.7,15.9,31.1,71.7,28.3,68.9,67.5,50.1,48.7,34.9,31.4,7.9,9.5,60.6,52.3,59,41,55.5,44.5,67.317,77.043,80.419,2.013,0.853,73,73.8,1.014,1.022
2025,"Sum","Nebraska Omaha",15,0,67.7809,111.099,110.588,3.743,112.161,108.418,32,20,12,62.5,53.5,53.1,36.4,37.7,15.7,14.9,29.2,74.6,25.4,70.8,69.1,52.5,53.5,36.7,35.1,7.3,8.3,49.5,51.5,61.4,38.6,55.5,44.5,67.694,77.229,79.995,2.432,0.2,73.3,71.9,1.126,1.1
2025,"MWC","New Mexico",10,0,72.7518,112.545,95.2167,16.83,111.747,94.917,32,25,7,78.125,50.8,49.2,37.8,35,15.6,20.5,31.5,74.4,25.6,68.5,72.9,50.6,48.2,34.1,33.8,14.3,9.5,51.5,59.5,67.8,32.2,61.7,38.3,73.074,78.318,81.232,2.047,45.924,68.4,66.7,1.089,0.964
2025,"MEAC","Norfolk St.",16,0,66.4103,107.201,108.723,-2.814,106.215,109.029,31,21,10,67.74194,52.4,49.7,39,34.9,18.3,18.6,32.8,66.2,33.8,67.2,67.4,54.5,48.9,31.3,33.9,9,9.3,49.3,59.2,72.3,27.7,57.3,42.7,66.306,76.741,80.249,2.602,7.466,75.3,71,1.103,1.046
2025,"ACC","North Carolina",11,0,70.5124,118.913,99.3766,19.02,118.831,99.811,35,22,13,62.85714,54.2,49.6,34.8,30,15.1,15.2,29.2,72.9,27.1,70.8,70.8,54.9,49.2,35.3,33.5,9.7,10.5,51,47.5,63,37,62.1,37.9,70.562,76.417,79.98,1.623,87.298,73.7,74.8,1.134,1.052
2025,"SEC","Oklahoma",9,0,68.6051,119.062,100.717,16.818,117.673,100.855,33,20,13,60.60606,54.9,51.1,39.6,35.8,17.3,18.1,26.5,68.3,31.7,73.5,70,54.6,54.9,37,30.5,6.8,10.4,52,47.3,58.1,41.9,58.1,41.9,68.427,77.138,80.403,2.256,48.517,79.4,72.9,1.126,1.069
2025,"B10","Oregon",5,0,67.673,116.643,96.4943,17.877,115.132,97.255,33,24,9,72.72727,52.2,49.1,33.4,27.7,16.2,17.6,30.6,70.8,29.2,69.4,68.6,53,50,34,31.7,10.1,8.8,54.4,50.3,61.4,38.6,62.6,37.4,67.652,77.427,81.554,2.452,60.009,76.3,72.1,1.099,1.023
2025,"B10","Purdue",4,0,65.0357,124.163,100.363,25.043,125.046,100.003,33,22,11,66.66667,56.3,52,34.6,31,15.6,17.8,31,70.1,29.9,69,66.6,55.5,56.4,38.5,30.7,5.3,8.8,57.7,58,61.9,38.1,57.3,42.7,65.042,77.045,80.639,1.484,73.946,73,72.6,1.17,1.068
